# file	url	sha256
slirp4netns_1.3.3-1.dsc	https://archive.ubuntu.com/ubuntu/pool/universe/s/slirp4netns/slirp4netns_1.3.3-1.dsc	3cabaaca6123b7cc442029b216f97c64177c97ad0714a350493384417bd0ef28
slirp4netns_1.3.3.orig.tar.gz	https://archive.ubuntu.com/ubuntu/pool/universe/s/slirp4netns/slirp4netns_1.3.3.orig.tar.gz	2422cd6869da0374943ba8f01425fe50a49a29138ddead0e0fedbe3aa22aa483
slirp4netns_1.3.3-1.debian.tar.xz	https://archive.ubuntu.com/ubuntu/pool/universe/s/slirp4netns/slirp4netns_1.3.3-1.debian.tar.xz	d1618f4596c9fb2e10bb3a8e568cf98b2495a40603baaebc47c0e3ec97d085fc
