# graph=cua-driver	target=x86_64-unknown-linux-gnu	lock_sha256=a510513612cbb9c93b9f24b2c6f329c64c07013f333b9abcc3dcea0bccf9b13a	external_packages=320
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
async-io	2.6.0	registry+https://github.com/rust-lang/crates.io-index	456b8a8feb6f42d237746d4b3e9a178494627745c3c56c6ea55d92ba50d026fc	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-io	576b470ca3cadefdec8b169279df23c9a0a63495		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-lock	3.4.2	registry+https://github.com/rust-lang/crates.io-index	290f7f2596bd5b78a9fec8088ccd89180d7f9f55b94b0576823bbbdc72ee8311	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-lock	f07ba65a02ec3eca32fa95e6d13dc754d619bb35		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-process	2.5.0	registry+https://github.com/rust-lang/crates.io-index	fc50921ec0055cdd8a16de48773bfeec5c972598674347252c0399676be7da75	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-process	81112a911898d607d176d37b85f56a1da0061455		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-recursion	1.1.1	registry+https://github.com/rust-lang/crates.io-index	3b43422f69d8ff38f95f1b2bb76517c91589a924d1559a0e935d7c8ce0274c11	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dcchut/async-recursion	3254b12e384f7688f9a1b95c54cfa07fe82baee7		LICENSE-APACHE@sha256:769f80b5bcb42ed0af4e4d2fd74e1ac9bf843cb80c5a29219d1ef3544428a6bb;LICENSE-MIT@sha256:30fefc3a7d6a0041541858293bcbea2dde4caa4c0a5802f996a7f7e8c0085652
async-signal	0.2.14	registry+https://github.com/rust-lang/crates.io-index	52b5aaafa020cf5053a01f2a60e8ff5dccf550f0f77ec54a4e47285ac2bab485	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-signal	d750e57adccbd90c4c4e93d184aeabcf5b22f057		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-task	4.7.1	registry+https://github.com/rust-lang/crates.io-index	8b75356056920673b02621b35afd0f7dda9306d03c79a30f5c56c44cf256e3de	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-task	3065c372e1ef1611230195ad7f3aae80ffde8261		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-trait	0.1.89	registry+https://github.com/rust-lang/crates.io-index	9035ad2d096bed7955a320ee7e2230574d28fd3c3a0f186cbea1ff3c7eed5dbb	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dtolnay/async-trait	a7e91e98a5d2de2ceae52d9459eed309939a98bf		LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
atomic-waker	1.1.2	registry+https://github.com/rust-lang/crates.io-index	1505bd5d3d116872e7271a6d4e16d81d0c8570876c8de68093a09ac269d8aac0	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/atomic-waker	9969a29ccd1fe298e2df7346849c0095ba303a64		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3;LICENSE-THIRD-PARTY@sha256:6226d0632e2e1a80c23597e964da9812ae193c535fe058154afb034e94167aa5
atspi	0.30.0	registry+https://github.com/rust-lang/crates.io-index	6bf601cccedfffec598ec2db1f9d6745885458bccc0e8916d7023f017c94b3d0	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/odilia-app/atspi	7c3ce193accd9b48929c6c845afca9c6cf250710	atspi	LICENSE-APACHE2.txt@sha256:50e6751797c50dedd75ef1b8a0d9e42f5f8472e9fbce91f34718e9f97b0c780a;LICENSE-MIT.txt@sha256:a94bf521d21b7db984c8b141b6f9341bbedbe24e617c1a55d952f8ef613ef1cd
atspi-common	0.14.0	registry+https://github.com/rust-lang/crates.io-index	f8a79bed3f5b408ce3152f36e07327a845e6ed5d7e2821a89264037dbcc11daf	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/odilia-app/atspi	7c3ce193accd9b48929c6c845afca9c6cf250710	atspi-common	LICENSE-APACHE2.txt@sha256:50e6751797c50dedd75ef1b8a0d9e42f5f8472e9fbce91f34718e9f97b0c780a;LICENSE-MIT.txt@sha256:a94bf521d21b7db984c8b141b6f9341bbedbe24e617c1a55d952f8ef613ef1cd
atspi-connection	0.14.0	registry+https://github.com/rust-lang/crates.io-index	8fab8e4f574f5a7d3af280b38eff25fb6f47a537dac9ae39ce152f52b19fb10b	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/odilia-app/atspi/	7c3ce193accd9b48929c6c845afca9c6cf250710	atspi-connection	LICENSE-APACHE2.txt@sha256:50e6751797c50dedd75ef1b8a0d9e42f5f8472e9fbce91f34718e9f97b0c780a;LICENSE-MIT.txt@sha256:a94bf521d21b7db984c8b141b6f9341bbedbe24e617c1a55d952f8ef613ef1cd
atspi-proxies	0.14.0	registry+https://github.com/rust-lang/crates.io-index	53403acd3ab2fdb5914f6558da22e540fc07656fce5510f8c02be0e6ef68413e	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/odilia-app/atspi	7c3ce193accd9b48929c6c845afca9c6cf250710	atspi-proxies	LICENSE-APACHE2.txt@sha256:50e6751797c50dedd75ef1b8a0d9e42f5f8472e9fbce91f34718e9f97b0c780a;LICENSE-MIT.txt@sha256:a94bf521d21b7db984c8b141b6f9341bbedbe24e617c1a55d952f8ef613ef1cd
autocfg	1.5.0	registry+https://github.com/rust-lang/crates.io-index	c08606f8c3cbf4ce6ec8e28fb0014a2c086708fe954eaa885384a6165172e7e8	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/cuviper/autocfg	d912169ed67977efe5a465269b0e73cb66060c49		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:27995d58ad5c1145c1a8cd86244ce844886958a35eb2b78c6b772748669999ac
base64	0.22.1	registry+https://github.com/rust-lang/crates.io-index	72b3254f16251a8381aa12e40e3c4d2f0199f8c6508fbecb9d91f575e0fbb8c6	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/marshallpierce/rust-base64	e14400697453bcc85997119b874bc03d9601d0af		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:0dd882e53de11566d50f8e8e2d5a651bcf3fabee4987d70f306233cf39094ba7
bit-set	0.8.0	registry+https://github.com/rust-lang/crates.io-index	08807e080ed7f9d5433fa9b275196cfc35414f66a0c79d864dc51a0d825231a3	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/contain-rs/bit-set	2b8861d23b53d63d326d2694ddabde6e7b19fbd0		LICENSE-APACHE@sha256:8173d5c29b4f956d532781d2b86e4e30f83e6b7878dce18c919451d6ba707c90;LICENSE-MIT@sha256:f51ac2c59a222f7476ce507ca879960e2b64ea64bb2786eefdbeb7b0b538d1b7
bit-vec	0.8.0	registry+https://github.com/rust-lang/crates.io-index	5e764a1d40d510daf35e07be9eb06e75770908c27d411ee6c92109c9840eaaf7	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/contain-rs/bit-vec	16d8d5ed27e9d379ae5d531ffcf7535cd02ef8f3		LICENSE-APACHE@sha256:8173d5c29b4f956d532781d2b86e4e30f83e6b7878dce18c919451d6ba707c90;LICENSE-MIT@sha256:f51ac2c59a222f7476ce507ca879960e2b64ea64bb2786eefdbeb7b0b538d1b7
bitflags	1.3.2	registry+https://github.com/rust-lang/crates.io-index	bef38d45163c2f1dde094a7dfd33ccf595c92905c8f8f4fdc18d06fb1037718a	MIT/Apache-2.0	MIT OR Apache-2.0	https://github.com/bitflags/bitflags	ed185cfb1c447c1b4bd6ac021c9ec3bb02c9e2f2		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb
bitflags	2.11.1	registry+https://github.com/rust-lang/crates.io-index	c4512299f36f043ab09a583e57bceb5a5aab7a73db1805848e8fef3c9e8c78b3	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/bitflags/bitflags	4ed9ffa949970239cd2d87c775e9fdcf9c438fb5		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb
bitvec	1.0.1	registry+https://github.com/rust-lang/crates.io-index	1bc2832c24239b0141d5674bb9174f9d68a8b5b3f2753311927c172ca46f7e9c	MIT	MIT	https://github.com/bitvecto-rs/bitvec	c922de6998be994cb5be1a349c7a0a0d16a19f07		LICENSE.txt@sha256:411781fd38700f2357a14126d0ab048164ab881f1dcb335c1bb932e232c9a2f5
block-buffer	0.10.4	registry+https://github.com/rust-lang/crates.io-index	3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/RustCrypto/utils	6d35952d3d3b124bc1049ad6fb406b42b1ce4bfe	block-buffer	LICENSE-APACHE@sha256:a9040321c3712d8fd0b09cf52b17445de04a23a10165049ae187cd39e5c86be5;LICENSE-MIT@sha256:d5c22aa3118d240e877ad41c5d9fa232f9c77d757d4aac0c2f943afc0a95e0ef
