# graph=buzzardos-guest	target=x86_64-unknown-linux-gnu	lock_sha256=2da24166e73630e224b55194ac670630a9aa7ff6b20ed7e3e77f8a0ab2a2212f	external_packages=63
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
fdeflate	0.3.7	registry+https://github.com/rust-lang/crates.io-index	1e6853b52649d4ac5c0bd02320cddc5ba956bdb407c4b75a2c6b75bf51500f8c	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/image-rs/fdeflate	c365c7e6ffa81feb2e1fb762eed7299f05c9b0ca		LICENSE-APACHE@sha256:0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594;LICENSE-MIT@sha256:c77a4cf9da729987d0fe7ccd811e3bd27393914ddf3d23467c18cc22954513b3
find-msvc-tools	0.1.10	registry+https://github.com/rust-lang/crates.io-index	26b73573e6edcd2af0cdf47bd6cb58f0b3839491263c314eaad1ccf24430e1de	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs	b27570c6644e4f5a43ea4561878a80ea334c5a14	find-msvc-tools	LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397
fixedbitset	0.5.7	registry+https://github.com/rust-lang/crates.io-index	1d674e81391d1e1ab681a28d99df07927c6d4aa5b027d7da16ba32d1d21ecd99	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/petgraph/fixedbitset	f1db5d17dabc4b8f3ba68c1228a3ee7601c7f33c		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:ce592787ff2321feab698a4c612237f4378cc658ebb1d472913e5802cc47afb4
flate2	1.1.9	registry+https://github.com/rust-lang/crates.io-index	843fba2746e448b37e26a819579957415c8cef339bf08564fe8b7ddbd959573c	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/flate2-rs	19ddb18bf11199858fbc6504d079448fafd1606e		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:025436edff4cfcdde17a5811fdea78892d8482efd1abdec5a17872d07a4f2112
foldhash	0.1.5	registry+https://github.com/rust-lang/crates.io-index	d9c4f5dac5e15c24eb999c26181a6ca40b39fe946cbe4c263c7209467bc83af2	Zlib	Zlib	https://github.com/orlp/foldhash	42461756c3760f9165c90d9626a49e36980a1e47		LICENSE@sha256:b1181a40b2a7b25cf66fd01481713bc1005df082c53ef73e851e55071b102744
half	2.7.1	registry+https://github.com/rust-lang/crates.io-index	6ea2d84b969582b4b1864a92dc5d27cd2b77b622a8d79306834f1be5ba20d84b	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/VoidStarKat/half-rs	8cc891f3e4aad956eca7fa79b1f42f87ecd141ae		LICENSE-APACHE@sha256:a6cba85bc92e0cff7a450b1d873c0eaa2e9fc96bf472df0247a26bec77bf3ff9;LICENSE-MIT@sha256:508a77d2e7b51d98adeed32648ad124b7b30241a8e70b2e72c99f92d8e5874d1
hashbrown	0.15.5	registry+https://github.com/rust-lang/crates.io-index	9229cfe53dfd69f0609a49f65461bd93001ea1ef889cd5529dd176593f5338a1	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown	b751eef8e99ccf3652046ef4a9e1ec47c1bfb78d		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:ff8f68cb076caf8cefe7a6430d4ac086ce6af2ca8ce2c4e5a2004d4552ef52a2
hashbrown	0.17.1	registry+https://github.com/rust-lang/crates.io-index	ed5909b6e89a2db4456e54cd5f673791d7eca6732202bbf2a9cc504fe2f9b84a	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:ff8f68cb076caf8cefe7a6430d4ac086ce6af2ca8ce2c4e5a2004d4552ef52a2
image	0.25.8	registry+https://github.com/rust-lang/crates.io-index	529feb3e6769d234375c4cf1ee2ce713682b8e76538cb13f9fc23e1400a591e7	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/image-rs/image	98b001da0ddcd91936a716696fba877df910b61d		LICENSE-APACHE@sha256:0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594;LICENSE-MIT@sha256:c77a4cf9da729987d0fe7ccd811e3bd27393914ddf3d23467c18cc22954513b3
image-webp	0.2.4	registry+https://github.com/rust-lang/crates.io-index	525e9ff3e1a4be2fbea1fdf0e98686a6d98b4d8f937e1bf7402245af1909e8c3	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/image-rs/image-webp	08b57d473c90148dd4b37a075df365afc3dfcc2b		LICENSE-APACHE@sha256:0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594;LICENSE-MIT@sha256:c77a4cf9da729987d0fe7ccd811e3bd27393914ddf3d23467c18cc22954513b3
