# graph=host-workspace	target=x86_64-unknown-linux-gnu	lock_sha256=c4fad3280c3402fc003cc1f3864d13f7650399896f3afe980c595316bcd2994b	external_packages=144
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
cairo-rs	0.21.5	registry+https://github.com/rust-lang/crates.io-index	b01fe135c0bd16afe262b6dea349bd5ea30e6de50708cec639aae7c5c14cc7e4	MIT	MIT	https://github.com/gtk-rs/gtk-rs-core	8b654067dcac04ebb3c7cce6a7aa5926155776fa	cairo	COPYRIGHT@sha256:dae402989de65164815b7e2b6bc2b9576285434c3785934c8b6ece0fa055960d;LICENSE@sha256:8cf56d10131ce201cf69ab74b111d3ebac1acca3833d7efb39ae357224b70edb
cairo-sys-rs	0.21.5	registry+https://github.com/rust-lang/crates.io-index	06c28280c6b12055b5e39e4554271ae4e6630b27c0da9148c4cf6485fc6d245c	MIT	MIT	https://github.com/gtk-rs/gtk-rs-core	8b654067dcac04ebb3c7cce6a7aa5926155776fa	cairo/sys	LICENSE@sha256:8cf56d10131ce201cf69ab74b111d3ebac1acca3833d7efb39ae357224b70edb
cc	1.4.2	registry+https://github.com/rust-lang/crates.io-index	5d262e149917187838d5b42777c8253bcb64500067342904e7d429499a6f277e	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs	a91e05ec40f26d4637d4bff9e9764221d0a59dd8		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397
cfg-expr	0.20.8	registry+https://github.com/rust-lang/crates.io-index	fb693542bcafa528e198be0ebd9d3632ca5b7c93dbe7237460e199910835997c	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/EmbarkStudios/cfg-expr	34880a88586ca64d03cbf3c15e1a1c21ff37e972		LICENSE-APACHE@sha256:8173d5c29b4f956d532781d2b86e4e30f83e6b7878dce18c919451d6ba707c90;LICENSE-MIT@sha256:090a294a492ab2f41388252312a65cf2f0e423330b721a68c6665ac64766753b
cfg-if	1.0.4	registry+https://github.com/rust-lang/crates.io-index	9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/cfg-if	3510ca6abea34cbbc702509a4e50ea9709925eda		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397
cfg_aliases	0.2.2	registry+https://github.com/rust-lang/crates.io-index	f079e83a288787bcd14a6aea84cee5c87a67c5a3e660c30f557a3d24761b3527	MIT	MIT	https://github.com/katharostech/cfg_aliases	e069ce61e00fee423ac1dbe6a897f228f1774716		LICENSE@sha256:31b94860253d8ec7b4529f51901044d3b459d6292d996504a36b1bae3a36a812;NOTICES.md@sha256:1e2b7ade3fb228130408b9990cae6a7618eb314c75aa0b164bfe485d9d9756ee
chrono	0.4.45	registry+https://github.com/rust-lang/crates.io-index	1aa79e62e7697b8e29b513a68abacf485adcd1fe8284a4316c5ae868e6633327	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/chronotope/chrono	170338250e836976a211e64728ec956e45e78a39		LICENSE.txt@sha256:946c9835d8034d24404f8cfec5f4654cee5dad17e944afc3d06d742cf2882831
clap	4.6.6	registry+https://github.com/rust-lang/crates.io-index	473c7e07f409a8d772161724aa8db6a765a2532a70f9667eeb7b49d3d02fbdca	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/clap-rs/clap	4a622b4340d5e1fffff60c0ecefdc6882f738159		LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:6efb0476a1cc085077ed49357026d8c173bf33017278ef440f222fb9cbcb66e6
clap_builder	4.6.6	registry+https://github.com/rust-lang/crates.io-index	7b48fea5a88e9ae728a2dcbedbfc0e730f7d60da42e1cb049a83c9fb8b789889	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/clap-rs/clap	4a622b4340d5e1fffff60c0ecefdc6882f738159	clap_builder	LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:6efb0476a1cc085077ed49357026d8c173bf33017278ef440f222fb9cbcb66e6
clap_derive	4.6.4	registry+https://github.com/rust-lang/crates.io-index	d012d2b9d65aca7f18f4d9878a045bc17899bba951561ba5ec3c2ba1eed9a061	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/clap-rs/clap	466b2be56c5811d1af62c407f5a00456350ece62	clap_derive	LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:6efb0476a1cc085077ed49357026d8c173bf33017278ef440f222fb9cbcb66e6
