libdisplay-info3:amd64	0.3.0-1+b1
libdnnl3.6:amd64	3.12.1+ds-3
libdolphinvcs6:amd64	4:26.04.0-1
libdouble-conversion3:amd64	3.4.0-1+b1
libdrm-amdgpu1:amd64	2.4.134-3
libdrm-common	2.4.134-3
libdrm-intel1:amd64	2.4.134-3
libdrm2:amd64	2.4.134-3
libduktape207:amd64	2.7.0-2+b3
libdv4t64:amd64	1.0.0-17.1+b2
libdvdnav4:amd64	7.0.0-2+b1
libdvdread8t64:amd64	7.1.1-1
libebur128-1:amd64	1.2.6-2+b2
libedit2:amd64	3.1-20260512-1
libegl-mesa0:amd64	26.1.5-1
libegl1:amd64	1.7.0-3+b1
libei1:amd64	1.5.0-3+b1
libelf1t64:amd64	0.195-1
libepoxy0:amd64	1.5.10-2+b2
libevdev2:amd64	1.13.6+dfsg-3
libevent-2.1-7t64:amd64	2.1.13-stable-1
libexif12:amd64	0.6.26-1
libexiv2-28:amd64	0.28.8+dfsg-1
libexiv2-data	0.28.8+dfsg-1
libexo-2-0:amd64	4.20.0-1+b2
libexo-common	4.20.0-1
libexpat1:amd64	2.8.2-1
libfaad2:amd64	2.11.2-1+b2
libfarmhash0:amd64	0~git20190513.0d859a8-4+b2
libfcft4t64	3.3.3-1
libffado2:amd64	2.5.0-5
libffi8:amd64	3.7.1-2
libfftw3-double3:amd64	3.3.11-1
libfftw3-single3:amd64	3.3.11-1
libfido2-1:amd64	1.17.0-2
libflac14:amd64	1.5.0+ds-5+b1
libflite1:amd64	2.2-7+b2
libfluidsynth3:amd64	2.5.7+dfsg-1
libfontconfig1:amd64	2.17.1-5
libfontenc1:amd64	1:1.1.8-1+b3
libfreeaptx0:amd64	0.2.2-1+b2
libfreetype6:amd64	2.14.3+dfsg-2
libfribidi0:amd64	1.0.16-5+b1
libfuse2t64:amd64	2.9.9-9+b2
libfuse3-4:amd64	3.18.2-2
libgbm1:amd64	26.1.5-1
libgcc-s1:amd64	16.1.0-3
libgcrypt20:amd64	1.12.2-1
libgdbm6t64:amd64	1.26-1+b2
libgdk-pixbuf-2.0-0:amd64	2.44.7+dfsg-1
libgdk-pixbuf2.0-common	2.44.7+dfsg-1
libgirepository-2.0-0:amd64	2.88.3-2
libgl1-mesa-dri:amd64	26.1.5-1
libgl1:amd64	1.7.0-3+b1
libgles2:amd64	1.7.0-3+b1
libglib2.0-0t64:amd64	2.88.3-2
libglibmm-2.68-1t64:amd64	2.88.1-2
libglvnd0:amd64	1.7.0-3+b1
libglx-mesa0:amd64	26.1.5-1
libglx0:amd64	1.7.0-3+b1
libglycin-2-0:amd64	2.1.5+ds-2
libgme0:amd64	0.6.4-1+b1
libgmp10:amd64	2:6.3.0+dfsg-5+b2
libgnutls30t64:amd64	3.8.13-1
libgomp1:amd64	16.1.0-3
libgpg-error0:amd64	1.61-3
libgpgme45:amd64	2.1.2-1
libgpgmepp7:amd64	2.1.0-2
libgpm2:amd64	1.20.7-12+b2
libgraphene-1.0-0:amd64	1.10.8-5+b2
libgraphite2-3:amd64	1.3.15-2
libgsm1:amd64	1.0.24-1
libgssapi-krb5-2:amd64	1.22.1-3
libgssdp-1.6-0:amd64	1.6.6-1
libgstreamer-gl1.0-0:amd64	1.28.5-1
libgstreamer-plugins-bad1.0-0:amd64	1.28.5-2
libgstreamer-plugins-base1.0-0:amd64	1.28.5-1
libgstreamer1.0-0:amd64	1.28.5-1
libgtk-3-0t64:amd64	3.24.52-1
libgtk-3-common	3.24.52-1
libgtk-4-1:amd64	4.22.4+ds-1
libgtk-4-common	4.22.4+ds-1
libgtkmm-4.0-0:amd64	4.22.0-1
libgudev-1.0-0:amd64	238-7+b2
libgupnp-1.6-0:amd64	1.6.10-1
libgupnp-igd-1.6-0:amd64	1.6.0-5+b1
libharfbuzz-subset0:amd64	12.3.2-2+b2
libharfbuzz0b:amd64	12.3.2-2+b2
libheif-plugin-dav1d:amd64	1.23.1-1
libheif-plugin-libde265:amd64	1.23.1-1
libheif1:amd64	1.23.1-1
libhogweed6t64:amd64	3.10.2-1+b1
libhwy1t64:amd64	1.3.0-2+b1
libice6:amd64	2:1.1.1-1+b2
libicu78:amd64	78.3-2
libidn2-0:amd64	2.3.8-5
libiec61883-0:amd64	1.2.0-8
libimath-3-1-29t64:amd64	3.1.12-1+b7
libimobiledevice-1.0-6:amd64	1.4.0-1+b3
libimobiledevice-glue-1.0-0	1.3.2-2
libinih1:amd64	61-1+b2
libinireader0:amd64	61-1+b2
libinput-bin	1.31.3-1
libinput10:amd64	1.31.3-1
libjack-jackd2-0:amd64	1.9.22~dfsg-6
libjbig0:amd64	2.1-6.1+b3
libjpeg62-turbo:amd64	1:3.1.3-4
libjson-c5:amd64	0.19+ds-1
libjson-glib-1.0-0:amd64	1.10.8+ds-2+b1
libjson-glib-1.0-common	1.10.8+ds-2
libjxl0.11:amd64	0.11.2-5
libk5crypto3:amd64	1.22.1-3
libkeyutils1:amd64	1.6.3-6+b2
libkf6archive-data	6.28.0-1
libkf6archive6:amd64	6.28.0-1
libkf6attica6:amd64	6.28.0-1
libkf6baloo6:amd64	6.28.0-1
libkf6balooengine6:amd64	6.28.0-1
libkf6baloowidgets6:amd64	4:26.04.0-1
libkf6bookmarks-data	6.28.0-1
libkf6bookmarks6:amd64	6.28.0-1
libkf6bookmarkswidgets6:amd64	6.28.0-1
libkf6breezeicons6:amd64	6.28.0-2
libkf6codecs-data	6.28.0-1
libkf6codecs6:amd64	6.28.0-1
libkf6colorscheme-data	6.28.0-1
libkf6colorscheme6:amd64	6.28.0-1
libkf6completion-data	6.28.0-1
libkf6completion6:amd64	6.28.0-1
libkf6config-data	6.28.0-1
libkf6configcore6:amd64	6.28.0-1
libkf6configgui6:amd64	6.28.0-1
libkf6configwidgets-data	6.28.0-1
libkf6configwidgets6:amd64	6.28.0-1
libkf6coreaddons-data	6.28.0-2
libkf6coreaddons6:amd64	6.28.0-2
libkf6crash6:amd64	6.28.0-1
libkf6dbusaddons-data	6.28.0-1
libkf6dbusaddons6:amd64	6.28.0-1
libkf6doctools6:amd64	6.28.0-1
libkf6filemetadata-bin:amd64	6.28.0-1
libkf6filemetadata-data	6.28.0-1
libkf6filemetadata3:amd64	6.28.0-1
libkf6globalaccel-data	6.28.0-1
libkf6globalaccel6:amd64	6.28.0-1
libkf6guiaddons-data	6.28.0-1
libkf6guiaddons6:amd64	6.28.0-1
libkf6i18n-data	6.28.0-1
libkf6i18n6:amd64	6.28.0-1
libkf6i18nqml6:amd64	6.28.0-1
libkf6iconthemes-data	6.28.0-1
libkf6iconthemes6:amd64	6.28.0-1
libkf6iconwidgets6:amd64	6.28.0-1
libkf6idletime6:amd64	6.28.0-1
libkf6itemviews-data	6.28.0-1
libkf6itemviews6:amd64	6.28.0-1
libkf6jobwidgets-data	6.28.0-1
libkf6jobwidgets6:amd64	6.28.0-1
libkf6kcmutils-data	6.28.0-1
libkf6kcmutils6:amd64	6.28.0-1
libkf6kcmutilscore6:amd64	6.28.0-1
libkf6kcmutilsquick6:amd64	6.28.0-1
libkf6kiocore6:amd64	6.28.0-1
libkf6kiofilewidgets6:amd64	6.28.0-1
libkf6kiogui6:amd64	6.28.0-1
libkf6kiowidgets6:amd64	6.28.0-1
libkf6newstuff-data	6.28.0-1
libkf6newstuffcore6:amd64	6.28.0-1
libkf6newstuffwidgets6:amd64	6.28.0-1
libkf6notifications-data	6.28.0-1
libkf6notifications6:amd64	6.28.0-1
libkf6package-data	6.28.0-1
libkf6package6:amd64	6.28.0-1
libkf6parts-data	6.28.0-1
libkf6parts6:amd64	6.28.0-1
libkf6service-bin	6.28.0-1
libkf6service-data	6.28.0-1
libkf6service6:amd64	6.28.0-1
libkf6solid-data	6.28.0-1
libkf6solid6:amd64	6.28.0-1
libkf6sonnet-data	6.28.0-1
libkf6sonnetcore6:amd64	6.28.0-1
libkf6sonnetui6:amd64	6.28.0-1
libkf6syndication6:amd64	6.28.0-1
libkf6textwidgets-data	6.28.0-1
libkf6textwidgets6:amd64	6.28.0-1
libkf6userfeedback-data	6.28.0-1
libkf6userfeedbackcore6:amd64	6.28.0-1
libkf6userfeedbackwidgets6:amd64	6.28.0-1
libkf6wallet-data	6.28.0-1
libkf6wallet6:amd64	6.28.0-1
libkf6walletbackend6:amd64	6.28.0-1
libkf6widgetsaddons-data	6.28.0-1
libkf6widgetsaddons6:amd64	6.28.0-1
libkf6windowsystem-data	6.28.0-2
libkf6windowsystem6:amd64	6.28.0-2
libkf6xmlgui-data	6.28.0-1
libkf6xmlgui6:amd64	6.28.0-1
libkrb5-3:amd64	1.22.1-3
libkrb5support0:amd64	1.22.1-3
libksba8:amd64	1.8.0-3
liblc3-1:amd64	1.1.3+dfsg-1+b2
liblcms2-2:amd64	2.19.1-1
libldacbt-enc2:amd64	2.0.2.3+git20200429+ed310a0-5+b2
libldap2:amd64	2.6.13+dfsg-1+b1
liblerc4:amd64	4.2.0+ds-1
libliftoff0:amd64	0.5.0-1.1+b2
liblilv-0-0:amd64	0.28.0-2
libllvm21:amd64	1:21.1.8-10
liblmdb0:amd64	0.9.35-1
liblrdf0:amd64	0.6.1-5+b2
libltc11:amd64	1.3.2-1+b3
libltdl7:amd64	2.5.4-11
liblua5.5-0:amd64	5.5.0-5
liblz4-1:amd64	1.10.0-10
liblzma5:amd64	5.8.3-1
liblzo2-2:amd64	2.10-3+b2
libmd0:amd64	1.2.0-2
libmd4c0:amd64	0.5.3-1
libminizip1t64:amd64	1:1.3.dfsg+really1.3.2-3
libmjpegutils-2.2-0:amd64	1:2.2.1-3+b1
libmodplug1:amd64	1:0.8.9.0-3+b3
libmount1:amd64	2.42.2-2
libmp3lame0:amd64	4.0-1
libmpcdec6:amd64	2:0.1~r495-3+b2
libmpeg2encpp-2.2-0:amd64	1:2.2.1-3+b1
libmpg123-0t64:amd64	1.33.6-2
