# graph=guest-shell	target=x86_64-unknown-linux-gnu	lock_sha256=11872837afdcb665b84f59bedbd2a6a769caa175b7b69bf9b81cdf06ffc49969	external_packages=162
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
async-channel	2.5.0	registry+https://github.com/rust-lang/crates.io-index	924ed96dd52d1b75e9c1a3e6275715fd320f5f9439fb5a4a11fa51f4221158d2	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-channel	35a63c456aaa1906015f5a825e7e35505a749afa		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-executor	1.14.0	registry+https://github.com/rust-lang/crates.io-index	c96bf972d85afc50bf5ab8fe2d54d1586b4e0b46c97c50a0c9e71e2f7bcd812a	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-executor	543403e773ec4941a6272e29c2ff649bfd01a4f8		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-io	2.6.0	registry+https://github.com/rust-lang/crates.io-index	456b8a8feb6f42d237746d4b3e9a178494627745c3c56c6ea55d92ba50d026fc	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-io	576b470ca3cadefdec8b169279df23c9a0a63495		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-lock	3.4.2	registry+https://github.com/rust-lang/crates.io-index	290f7f2596bd5b78a9fec8088ccd89180d7f9f55b94b0576823bbbdc72ee8311	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-lock	f07ba65a02ec3eca32fa95e6d13dc754d619bb35		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-process	2.5.0	registry+https://github.com/rust-lang/crates.io-index	fc50921ec0055cdd8a16de48773bfeec5c972598674347252c0399676be7da75	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-process	81112a911898d607d176d37b85f56a1da0061455		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-recursion	1.1.1	registry+https://github.com/rust-lang/crates.io-index	3b43422f69d8ff38f95f1b2bb76517c91589a924d1559a0e935d7c8ce0274c11	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dcchut/async-recursion	3254b12e384f7688f9a1b95c54cfa07fe82baee7		LICENSE-APACHE@sha256:769f80b5bcb42ed0af4e4d2fd74e1ac9bf843cb80c5a29219d1ef3544428a6bb;LICENSE-MIT@sha256:30fefc3a7d6a0041541858293bcbea2dde4caa4c0a5802f996a7f7e8c0085652
async-signal	0.2.14	registry+https://github.com/rust-lang/crates.io-index	52b5aaafa020cf5053a01f2a60e8ff5dccf550f0f77ec54a4e47285ac2bab485	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-signal	d750e57adccbd90c4c4e93d184aeabcf5b22f057		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-task	4.7.1	registry+https://github.com/rust-lang/crates.io-index	8b75356056920673b02621b35afd0f7dda9306d03c79a30f5c56c44cf256e3de	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-task	3065c372e1ef1611230195ad7f3aae80ffde8261		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-trait	0.1.92	registry+https://github.com/rust-lang/crates.io-index	82f6aeea286b8eb4dd3431a1be1b59d290ace00f5bfd8e2a159bc2a05e2c1667	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dtolnay/async-trait	82e7e9edd60f622294373a23c0ce9c0077ad0263		LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
atomic-waker	1.1.2	registry+https://github.com/rust-lang/crates.io-index	1505bd5d3d116872e7271a6d4e16d81d0c8570876c8de68093a09ac269d8aac0	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/atomic-waker	9969a29ccd1fe298e2df7346849c0095ba303a64		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3;LICENSE-THIRD-PARTY@sha256:6226d0632e2e1a80c23597e964da9812ae193c535fe058154afb034e94167aa5
atspi	0.29.0	registry+https://github.com/rust-lang/crates.io-index	c77886257be21c9cd89a4ae7e64860c6f0eefca799bb79127913052bd0eefb3d	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/odilia-app/atspi	f486755b9bf993613f63a779133aafc54925004a	atspi	LICENSE-APACHE2.txt@sha256:50e6751797c50dedd75ef1b8a0d9e42f5f8472e9fbce91f34718e9f97b0c780a;LICENSE-MIT.txt@sha256:a94bf521d21b7db984c8b141b6f9341bbedbe24e617c1a55d952f8ef613ef1cd
atspi-common	0.13.0	registry+https://github.com/rust-lang/crates.io-index	20c5617155740c98003016429ad13fe43ce7a77b007479350a9f8bf95a29f63d	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/odilia-app/atspi	f486755b9bf993613f63a779133aafc54925004a	atspi-common	LICENSE-APACHE2.txt@sha256:50e6751797c50dedd75ef1b8a0d9e42f5f8472e9fbce91f34718e9f97b0c780a;LICENSE-MIT.txt@sha256:a94bf521d21b7db984c8b141b6f9341bbedbe24e617c1a55d952f8ef613ef1cd
atspi-proxies	0.13.0	registry+https://github.com/rust-lang/crates.io-index	2230e48787ed3eb4088996eab66a32ca20c0b67bbd4fd6cdfe79f04f1f04c9fc	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/odilia-app/atspi	f486755b9bf993613f63a779133aafc54925004a	atspi-proxies	LICENSE-APACHE2.txt@sha256:50e6751797c50dedd75ef1b8a0d9e42f5f8472e9fbce91f34718e9f97b0c780a;LICENSE-MIT.txt@sha256:a94bf521d21b7db984c8b141b6f9341bbedbe24e617c1a55d952f8ef613ef1cd
autocfg	1.5.1	registry+https://github.com/rust-lang/crates.io-index	f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/cuviper/autocfg	2799b09c24e6632f8e653c5cd8fc303e85a906ba		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:27995d58ad5c1145c1a8cd86244ce844886958a35eb2b78c6b772748669999ac
base64	0.22.1	registry+https://github.com/rust-lang/crates.io-index	72b3254f16251a8381aa12e40e3c4d2f0199f8c6508fbecb9d91f575e0fbb8c6	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/marshallpierce/rust-base64	e14400697453bcc85997119b874bc03d9601d0af		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:0dd882e53de11566d50f8e8e2d5a651bcf3fabee4987d70f306233cf39094ba7
bitflags	1.3.2	registry+https://github.com/rust-lang/crates.io-index	bef38d45163c2f1dde094a7dfd33ccf595c92905c8f8f4fdc18d06fb1037718a	MIT/Apache-2.0	MIT OR Apache-2.0	https://github.com/bitflags/bitflags	ed185cfb1c447c1b4bd6ac021c9ec3bb02c9e2f2		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb
bitflags	2.13.1	registry+https://github.com/rust-lang/crates.io-index	b588b76d00fde79687d7646a9b5bdf3cc0f655e0bbd080335a95d7e96f3587da	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/bitflags/bitflags	f92a2921b41644b02ca5d50a6ace542e309e6a6f		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb
blocking	1.6.2	registry+https://github.com/rust-lang/crates.io-index	e83f8d02be6967315521be875afa792a316e28d57b5a2d401897e2a7921b7f21	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/blocking	6c4eddec184c36ebf01db23a640109bd98cd3707		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
bytemuck	1.25.2	registry+https://github.com/rust-lang/crates.io-index	95832e849adfb21180ccb6826a99da14e5d266ae5c2e668e1602cf234f153797	Zlib OR Apache-2.0 OR MIT	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck	f363643e951a7ac9e4b9921de982f2b0918902e3		LICENSE-APACHE@sha256:e3ba223bb1423f0aad8c3dfce0fe3148db48926d41e6fbc3afbbf5ff9e1c89cb;LICENSE-MIT@sha256:9df9ba60a11af705f2e451b53762686e615d86f76b169cf075c3237730dbd7e2;LICENSE-ZLIB@sha256:84b34dd7608f7fb9b17bd588a6bf392bf7de504e2716f024a77d89f1b145a151
bytemuck_derive	1.12.0	registry+https://github.com/rust-lang/crates.io-index	fc0e56a716f1e132ff6bf4bdac1c944a3fcdc1cae65f70a4a2a1ac3b401d2d1f	Zlib OR Apache-2.0 OR MIT	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck	7cc6738e51c46535605f9b9cd851bb87d955238a	derive	LICENSE-APACHE@sha256:e3ba223bb1423f0aad8c3dfce0fe3148db48926d41e6fbc3afbbf5ff9e1c89cb;LICENSE-MIT@sha256:9df9ba60a11af705f2e451b53762686e615d86f76b169cf075c3237730dbd7e2;LICENSE-ZLIB@sha256:84b34dd7608f7fb9b17bd588a6bf392bf7de504e2716f024a77d89f1b145a151
byteorder-lite	0.1.0	registry+https://github.com/rust-lang/crates.io-index	8f1fe948ff07f4bd06c30984e69f5b4899c516a3ef74f34df92a2df2ab535495	Unlicense OR MIT	Unlicense OR MIT	https://github.com/image-rs/byteorder-lite	7d44da06a48fe10d7e23efd9a932d18a7a2def63		LICENSE-MIT@sha256:0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f
calloop	0.14.4	registry+https://github.com/rust-lang/crates.io-index	4dbf9978365bac10f54d1d4b04f7ce4427e51f71d61f2fe15e3fed5166474df7	MIT	MIT	https://github.com/Smithay/calloop	7e4d3ac507b0b49dea2bc3b92d7eb2cc54dcd168		LICENSE.txt@sha256:4b71658d3410d813b6fc6ceb654ce2aa8c2d3094c944dc59c2041da6227810e3
calloop-wayland-source	0.4.1	registry+https://github.com/rust-lang/crates.io-index	138efcf0940a02ebf0cc8d1eff41a1682a46b431630f4c52450d6265876021fa	MIT	MIT	https://github.com/smithay/calloop-wayland-source	9828ce382a6b3a2b4b688048314939f7c517bcc3		LICENSE.txt@sha256:e7ed841a425ba764fd8599031dcf67c5b3d8de2d638779eb3e740a21d3d6eb1c
cc	1.4.2	registry+https://github.com/rust-lang/crates.io-index	5d262e149917187838d5b42777c8253bcb64500067342904e7d429499a6f277e	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs	a91e05ec40f26d4637d4bff9e9764221d0a59dd8		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397
cfg-if	1.0.4	registry+https://github.com/rust-lang/crates.io-index	9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/cfg-if	3510ca6abea34cbbc702509a4e50ea9709925eda		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397
concurrent-queue	2.5.0	registry+https://github.com/rust-lang/crates.io-index	4ca0197aee26d1ae37445ee532fefce43251d24cc7c166799f4d46817f1d3973	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/concurrent-queue	e874f701f8413de01948c4903f894e5c845d8950		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
